Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Mean,,
Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time
6,2100,5092,,6,2100,8072,,6,2100,6075,,6,2100,9389,,6,2100,6497,,6,7000,7025
6,2400,5260,,6,2400,6118,,6,2400,6390,,6,2400,5249,,6,2400,5545,,6,8000,5712.4
6,2700,6774,,6,2700,7838,,6,2700,9002,,6,2700,9440,,6,2700,7119,,6,9000,8034.6
6,3000,7580,,6,3000,8240,,6,3000,6994,,6,3000,7534,,6,3000,9691,,6,10000,8007.8
,,,,,,,,,,,,,,,,,,,,,,
7,300,2088,,7,300,2058,,7,300,1890,,7,300,2859,,7,300,2591,,7,1000,2297.2
7,600,3680,,7,600,4148,,7,600,4350,,7,600,3487,,7,600,4228,,7,2000,3978.6
7,900,5443,,7,900,4683,,7,900,6023,,7,900,4943,,7,900,3765,,7,3000,4971.4
7,1200,5819,,7,1200,4004,,7,1200,4681,,7,1200,3909,,7,1200,5477,,7,4000,4778
7,1500,4248,,7,1500,6222,,7,1500,3824,,7,1500,5224,,7,1500,7377,,7,5000,5379
7,1800,4868,,7,1800,6756,,7,1800,6434,,7,1800,8559,,7,1800,4846,,7,6000,6292.6
7,2100,5340,,7,2100,5327,,7,2100,6026,,7,2100,6454,,7,2100,7192,,7,7000,6067.8
7,2400,5526,,7,2400,7387,,7,2400,4925,,7,2400,5620,,7,2400,8299,,7,8000,6351.4
7,2700,8276,,7,2700,6880,,7,2700,7544,,7,2700,7746,,7,2700,5673,,7,9000,7223.8
7,3000,5898,,7,3000,7009,,7,3000,6887,,7,3000,7652,,7,3000,8678,,7,10000,7224.8
,,,,,,,,,,,,,,,,,,,,,,
8,300,2393,,8,300,3646,,8,300,2040,,8,300,2291,,8,300,3856,,8,1000,2845.2
8,600,4837,,8,600,6047,,8,600,4577,,8,600,4128,,8,600,3927,,8,2000,4703.2
8,900,5380,,8,900,3593,,8,900,4567,,8,900,3696,,8,900,4428,,8,3000,4332.8
8,1200,3864,,8,1200,4916,,8,1200,5207,,8,1200,5617,,8,1200,4136,,8,4000,4748
8,1500,4928,,8,1500,8488,,8,1500,4124,,8,1500,6778,,8,1500,5964,,8,5000,6056.4
8,1800,7828,,8,1800,5305,,8,1800,6401,,8,1800,4847,,8,1800,6161,,8,6000,6108.4
8,2100,5903,,8,2100,7004,,8,2100,5839,,8,2100,8119,,8,2100,5935,,8,7000,6560
8,2400,4967,,8,2400,5472,,8,2400,5781,,8,2400,8341,,8,2400,6267,,8,8000,6165.6
8,2700,5939,,8,2700,6841,,8,2700,7942,,8,2700,6758,,8,2700,9620,,8,9000,7420
8,3000,7061,,8,3000,9515,,8,3000,6754,,8,3000,6664,,8,3000,5976,,8,10000,7194
