Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Mean,,
Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time
6,5000,26946,,6,5000,31692,,6,5000,28140,,6,5000,32843,,6,5000,30919,,6,5000,30108
6,6000,33233,,6,6000,40131,,6,6000,35338,,6,6000,36185,,6,6000,34447,,6,6000,35866.8
6,7000,33928,,6,7000,38886,,6,7000,37131,,6,7000,38309,,6,7000,37520,,6,7000,37154.8
6,8000,36535,,6,8000,41302,,6,8000,43299,,6,8000,41419,,6,8000,41560,,6,8000,40823
6,9000,38727,,6,9000,47153,,6,9000,41771,,6,9000,42610,,6,9000,45608,,6,9000,43173.8
6,10000,42485,,6,10000,49384,,6,10000,48830,,6,10000,53711,,6,10000,50850,,6,10000,49052
,,,,,,,,,,,,,,,,,,,,,,
7,1000,11172,,7,1000,11132,,7,1000,9744,,7,1000,7460,,7,1000,9190,,7,1000,9739.6
7,2000,17538,,7,2000,13823,,7,2000,18019,,7,2000,18052,,7,2000,17809,,7,2000,17048.2
7,3000,22510,,7,3000,22136,,7,3000,20379,,7,3000,24484,,7,3000,24307,,7,3000,22763.2
7,4000,26149,,7,4000,24522,,7,4000,23545,,7,4000,23826,,7,4000,23584,,7,4000,24325.2
7,5000,30797,,7,5000,32994,,7,5000,28503,,7,5000,32550,,7,5000,31658,,7,5000,31300.4
7,6000,35204,,7,6000,35624,,7,6000,35439,,7,6000,37350,,7,6000,36476,,7,6000,36018.6
7,7000,38232,,7,7000,37297,,7,7000,37727,,7,7000,39141,,7,7000,43977,,7,7000,39274.8
7,8000,40448,,7,8000,44757,,7,8000,38415,,7,8000,39940,,7,8000,46220,,7,8000,41956
7,9000,45667,,7,9000,47726,,7,9000,44932,,7,9000,46892,,7,9000,46674,,7,9000,46378.2
7,10000,50571,,7,10000,49648,,7,10000,47936,,7,10000,52849,,7,10000,52679,,7,10000,50736.6
,,,,,,,,,,,,,,,,,,,,,,
8,1000,9648,,8,1000,8363,,8,1000,9008,,8,1000,9287,,8,1000,8751,,8,1000,9011.4
8,2000,16039,,8,2000,16963,,8,2000,16553,,8,2000,17766,,8,2000,15227,,8,2000,16509.6
8,3000,21308,,8,3000,24347,,8,3000,21910,,8,3000,24623,,8,3000,23777,,8,3000,23193
8,4000,24221,,8,4000,23586,,8,4000,23263,,8,4000,25986,,8,4000,23137,,8,4000,24038.6
8,5000,29871,,8,5000,32542,,8,5000,33404,,8,5000,29983,,8,5000,33050,,8,5000,31770
8,6000,36223,,8,6000,35662,,8,6000,33974,,8,6000,37464,,8,6000,34453,,8,6000,35555.2
8,7000,41607,,8,7000,39343,,8,7000,35965,,8,7000,40947,,8,7000,42988,,8,7000,40170
8,8000,41223,,8,8000,43135,,8,8000,42683,,8,8000,40508,,8,8000,39885,,8,8000,41486.8
8,9000,43346,,8,9000,51995,,8,9000,45673,,8,9000,49966,,8,9000,47454,,8,9000,47686.8
8,10000,43774,,8,10000,57488,,8,10000,47254,,8,10000,50981,,8,10000,50314,,8,10000,49962.2
