Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Mean,,
Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time
1,1000,6545,,1,1000,6718,,1,1000,6933,,1,1000,7369,,1,1000,6620,,1,1000,6837
1,2000,10290,,1,2000,10094,,1,2000,10408,,1,2000,10452,,1,2000,10518,,1,2000,10352.4
1,3000,15672,,1,3000,16086,,1,3000,14787,,1,3000,15017,,1,3000,14898,,1,3000,15292
1,4000,25167,,1,4000,23480,,1,4000,23065,,1,4000,22189,,1,4000,22319,,1,4000,23244
1,5000,26754,,1,5000,29333,,1,5000,33219,,1,5000,31238,,1,5000,30430,,1,5000,30194.8
1,6000,38401,,1,6000,41614,,1,6000,35608,,1,6000,37644,,1,6000,39381,,1,6000,38529.6
1,7000,46928,,1,7000,48818,,1,7000,44883,,1,7000,46378,,1,7000,44876,,1,7000,46376.6
1,8000,56646,,1,8000,61463,,1,8000,53787,,1,8000,53850,,1,8000,53311,,1,8000,55811.4
1,9000,66027,,1,9000,63115,,1,9000,62581,,1,9000,63405,,1,9000,63385,,1,9000,63702.6
1,10000,73123,,1,10000,75146,,1,10000,73243,,1,10000,78320,,1,10000,73023,,1,10000,74571
,,,,,,,,,,,,,,,,,,,,,,
2,1000,4564,,2,1000,4889,,2,1000,4983,,2,1000,5017,,2,1000,4908,,2,1000,4872.2
2,2000,7056,,2,2000,6306,,2,2000,6901,,2,2000,6422,,2,2000,6568,,2,2000,6650.6
2,3000,11016,,2,3000,9787,,2,3000,11554,,2,3000,10475,,2,3000,11380,,2,3000,10842.4
2,4000,18043,,2,4000,14719,,2,4000,19464,,2,4000,14155,,2,4000,15820,,2,4000,16440.2
2,5000,18556,,2,5000,20948,,2,5000,17846,,2,5000,20337,,2,5000,20111,,2,5000,19559.6
2,6000,25519,,2,6000,25616,,2,6000,29443,,2,6000,33237,,2,6000,28768,,2,6000,28516.6
2,7000,28163,,2,7000,33644,,2,7000,31897,,2,7000,33651,,2,7000,31806,,2,7000,31832.2
2,8000,34502,,2,8000,35333,,2,8000,40242,,2,8000,35341,,2,8000,38815,,2,8000,36846.6
2,9000,42698,,2,9000,42689,,2,9000,42838,,2,9000,41782,,2,9000,41333,,2,9000,42268
2,10000,61010,,2,10000,52117,,2,10000,47988,,2,10000,48434,,2,10000,50281,,2,10000,51966
,,,,,,,,,,,,,,,,,,,,,,
3,1000,4123,,3,1000,5449,,3,1000,4742,,3,1000,5225,,3,1000,4210,,3,1000,4749.8
3,2000,7715,,3,2000,9378,,3,2000,10588,,3,2000,9928,,3,2000,9133,,3,2000,9348.4
3,3000,11773,,3,3000,8916,,3,3000,11385,,3,3000,12531,,3,3000,9372,,3,3000,10795.4
3,4000,14267,,3,4000,13801,,3,4000,12921,,3,4000,16385,,3,4000,15805,,3,4000,14635.8
3,5000,22564,,3,5000,18083,,3,5000,17164,,3,5000,19297,,3,5000,15887,,3,5000,18599
3,6000,21027,,3,6000,21099,,3,6000,26347,,3,6000,21249,,3,6000,21131,,3,6000,22170.6
3,7000,30267,,3,7000,31851,,3,7000,29358,,3,7000,24058,,3,7000,29947,,3,7000,29096.2
3,8000,34206,,3,8000,35781,,3,8000,32570,,3,8000,31879,,3,8000,39411,,3,8000,34769.4
3,9000,40514,,3,9000,37363,,3,9000,37135,,3,9000,37408,,3,9000,42701,,3,9000,39024.2
3,10000,47406,,3,10000,53302,,3,10000,50096,,3,10000,46539,,3,10000,44107,,3,10000,48290
,,,,,,,,,,,,,,,,,,,,,,
4,1000,5779,,4,1000,6457,,4,1000,4700,,4,1000,5261,,4,1000,4697,,4,1000,5378.8
4,2000,14164,,4,2000,7996,,4,2000,9933,,4,2000,7913,,4,2000,9585,,4,2000,9918.2
