Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Mean,,
4,3000,10789,,4,3000,10208,,4,3000,13807,,4,3000,15160,,4,3000,11261,,4,3000,12245
4,4000,17087,,4,4000,15122,,4,4000,17926,,4,4000,16540,,4,4000,19339,,4,4000,17202.8
4,5000,20103,,4,5000,19035,,4,5000,21270,,4,5000,20051,,4,5000,21121,,4,5000,20316
4,6000,23219,,4,6000,22432,,4,6000,22806,,4,6000,23933,,4,6000,24711,,4,6000,23420.2
4,7000,28497,,4,7000,26228,,4,7000,29247,,4,7000,27778,,4,7000,28302,,4,7000,28010.4
4,8000,32978,,4,8000,34281,,4,8000,31555,,4,8000,34289,,4,8000,32664,,4,8000,33153.4
4,9000,36341,,4,9000,36459,,4,9000,37023,,4,9000,35142,,4,9000,40206,,4,9000,37034.2
4,10000,43206,,4,10000,40626,,4,10000,45400,,4,10000,44567,,4,10000,42117,,4,10000,43183.2
,,,,,,,,,,,,,,,,,,,,,,
5,1000,4001,,5,1000,5462,,5,1000,5649,,5,1000,4984,,5,1000,4031,,5,1000,4825.4
5,2000,9373,,5,2000,12335,,5,2000,8775,,5,2000,7996,,5,2000,10261,,5,2000,9748
5,3000,11192,,5,3000,12729,,5,3000,12698,,5,3000,13657,,5,3000,10862,,5,3000,12227.6
5,4000,18283,,5,4000,17966,,5,4000,17401,,5,4000,14266,,5,4000,14034,,5,4000,16390
5,5000,21683,,5,5000,20696,,5,5000,19993,,5,5000,21252,,5,5000,19304,,5,5000,20585.6
5,6000,24882,,5,6000,28929,,5,6000,25173,,5,6000,24699,,5,6000,23811,,5,6000,25498.8
5,7000,27101,,5,7000,27647,,5,7000,27458,,5,7000,25558,,5,7000,26994,,5,7000,26951.6
5,8000,35422,,5,8000,30186,,5,8000,31165,,5,8000,30861,,5,8000,32880,,5,8000,32102.8
5,9000,34376,,5,9000,32854,,5,9000,37185,,5,9000,35995,,5,9000,33316,,5,9000,34745.2
5,10000,42833,,5,10000,40352,,5,10000,40691,,5,10000,36034,,5,10000,39216,,5,10000,39825.2
,,,,,,,,,,,,,,,,,,,,,,
6,1000,5218,,6,1000,4200,,6,1000,4247,,6,1000,4963,,6,1000,3713,,6,1000,4468.2
6,2000,7694,,6,2000,10474,,6,2000,10012,,6,2000,8644,,6,2000,8234,,6,2000,9011.6
6,3000,12921,,6,3000,11696,,6,3000,11381,,6,3000,12017,,6,3000,11070,,6,3000,11817
6,4000,13770,,6,4000,16874,,6,4000,17285,,6,4000,15176,,6,4000,15444,,6,4000,15709.8
6,5000,19356,,6,5000,21158,,6,5000,20846,,6,5000,18821,,6,5000,19359,,6,5000,19908
6,6000,22829,,6,6000,22772,,6,6000,24904,,6,6000,23823,,6,6000,25481,,6,6000,23961.8
6,7000,25124,,6,7000,26405,,6,7000,26117,,6,7000,28660,,6,7000,25850,,6,7000,26431.2
6,8000,30844,,6,8000,25830,,6,8000,33242,,6,8000,29124,,6,8000,30465,,6,8000,29901
6,9000,37320,,6,9000,32197,,6,9000,35549,,6,9000,31537,,6,9000,34725,,6,9000,34265.6
6,10000,38232,,6,10000,37112,,6,10000,38649,,6,10000,38132,,6,10000,39742,,6,10000,38373.4
,,,,,,,,,,,,,,,,,,,,,,
7,1000,5715,,7,1000,6806,,7,1000,4995,,7,1000,4764,,7,1000,4738,,7,1000,5403.6
7,2000,8229,,7,2000,7112,,7,2000,10205,,7,2000,7855,,7,2000,10779,,7,2000,8836
7,3000,14526,,7,3000,15095,,7,3000,13583,,7,3000,13411,,7,3000,12984,,7,3000,13919.8
7,4000,17530,,7,4000,16002,,7,4000,17001,,7,4000,19259,,7,4000,16148,,7,4000,17188
7,5000,17906,,7,5000,19382,,7,5000,20266,,7,5000,19162,,7,5000,20475,,7,5000,19438.2
7,6000,27100,,7,6000,25838,,7,6000,23406,,7,6000,27234,,7,6000,24918,,7,6000,25699.2
7,7000,27630,,7,7000,25792,,7,7000,25708,,7,7000,27311,,7,7000,26335,,7,7000,26555.2
7,8000,33521,,7,8000,29830,,7,8000,32620,,7,8000,35048,,7,8000,30522,,7,8000,32308.2
7,9000,36476,,7,9000,33212,,7,9000,37648,,7,9000,35301,,7,9000,37017,,7,9000,35930.8
7,10000,40821,,7,10000,40696,,7,10000,37481,,7,10000,41181,,7,10000,38251,,7,10000,39686
,,,,,,,,,,,,,,,,,,,,,,
8,1000,5920,,8,1000,4267,,8,1000,6154,,8,1000,5483,,8,1000,7147,,8,1000,5794.2
8,2000,11298,,8,2000,8434,,8,2000,8496,,8,2000,8918,,8,2000,7281,,8,2000,8885.4
8,3000,11259,,8,3000,11844,,8,3000,10152,,8,3000,13146,,8,3000,14440,,8,3000,12168.2
8,4000,19438,,8,4000,18196,,8,4000,14197,,8,4000,23695,,8,4000,15533,,8,4000,18211.8
8,5000,20063,,8,5000,20348,,8,5000,21215,,8,5000,20450,,8,5000,20251,,8,5000,20465.4
8,6000,23457,,8,6000,23381,,8,6000,20960,,8,6000,25259,,8,6000,27143,,8,6000,24040
8,7000,27758,,8,7000,27141,,8,7000,32470,,8,7000,30466,,8,7000,27055,,8,7000,28978
8,8000,31196,,8,8000,26748,,8,8000,32210,,8,8000,33775,,8,8000,33011,,8,8000,31388
8,9000,35206,,8,9000,36018,,8,9000,37325,,8,9000,39330,,8,9000,38612,,8,9000,37298.2
8,10000,37257,,8,10000,35180,,8,10000,42021,,8,10000,41987,,8,10000,39509,,8,10000,39190.8
