Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Mean,,
Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time
1,1000,6236,,1,1000,6337,,1,1000,6161,,1,1000,6213,,1,1000,6284,,1,1000,6246.2
1,2000,9084,,1,2000,8744,,1,2000,8810,,1,2000,8737,,1,2000,8883,,1,2000,8851.6
1,3000,12722,,1,3000,12781,,1,3000,12518,,1,3000,12467,,1,3000,12450,,1,3000,12587.6
1,4000,17194,,1,4000,17226,,1,4000,17260,,1,4000,17274,,1,4000,17018,,1,4000,17194.4
1,5000,22864,,1,5000,24673,,1,5000,23429,,1,5000,22768,,1,5000,22729,,1,5000,23292.6
1,6000,30304,,1,6000,32158,,1,6000,31495,,1,6000,31652,,1,6000,32529,,1,6000,31627.6
1,7000,96417,,1,7000,90220,,1,7000,95095,,1,7000,88690,,1,7000,89557,,1,7000,91995.8
1,8000,125135,,1,8000,144966,,1,8000,124900,,1,8000,138838,,1,8000,106258,,1,8000,128019.4
1,9000,60211,,1,9000,55875,,1,9000,57438,,1,9000,60487,,1,9000,61773,,1,9000,59156.8
1,10000,73944,,1,10000,67298,,1,10000,68079,,1,10000,71579,,1,10000,67488,,1,10000,69677.6
,,,,,,,,,,,,,,,,,,,,,,
2,1000,4517,,2,1000,3965,,2,1000,3956,,2,1000,4106,,2,1000,4160,,2,1000,4140.8
2,2000,5816,,2,2000,5135,,2,2000,5142,,2,2000,5216,,2,2000,5846,,2,2000,5431
2,3000,7886,,2,3000,7432,,2,3000,7539,,2,3000,7673,,2,3000,7648,,2,3000,7635.6
2,4000,10279,,2,4000,10318,,2,4000,10398,,2,4000,10755,,2,4000,10630,,2,4000,10476
2,5000,13243,,2,5000,13333,,2,5000,13247,,2,5000,13290,,2,5000,13690,,2,5000,13360.6
2,6000,17319,,2,6000,17405,,2,6000,17619,,2,6000,17485,,2,6000,17669,,2,6000,17499.4
2,7000,21619,,2,7000,21786,,2,7000,21674,,2,7000,21685,,2,7000,22073,,2,7000,21767.4
2,8000,25991,,2,8000,26061,,2,8000,26160,,2,8000,26270,,2,8000,26328,,2,8000,26162
2,9000,30900,,2,9000,31199,,2,9000,31105,,2,9000,31911,,2,9000,31307,,2,9000,31284.4
