Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Mean,,
2,10000,36741,,2,10000,37161,,2,10000,36931,,2,10000,36838,,2,10000,37104,,2,10000,36955
,,,,,,,,,,,,,,,,,,,,,,
3,1000,3166,,3,1000,3368,,3,1000,3140,,3,1000,3322,,3,1000,3304,,3,1000,3260
3,2000,4121,,3,2000,4291,,3,2000,4215,,3,2000,4289,,3,2000,4258,,3,2000,4234.8
3,3000,5873,,3,3000,5931,,3,3000,6110,,3,3000,5950,,3,3000,6120,,3,3000,5996.8
3,4000,8105,,3,4000,11687,,3,4000,8163,,3,4000,8153,,3,4000,8627,,3,4000,8947
3,5000,10073,,3,5000,14090,,3,5000,10160,,3,5000,10243,,3,5000,10328,,3,5000,10978.8
3,6000,13693,,3,6000,18506,,3,6000,13153,,3,6000,13145,,3,6000,13495,,3,6000,14398.4
3,7000,16600,,3,7000,23317,,3,7000,16661,,3,7000,16702,,3,7000,17230,,3,7000,18102
3,8000,19732,,3,8000,28502,,3,8000,19829,,3,8000,20340,,3,8000,20265,,3,8000,21733.6
3,9000,22921,,3,9000,23279,,3,9000,23397,,3,9000,23434,,3,9000,23355,,3,9000,23277.2
3,10000,27190,,3,10000,27487,,3,10000,27318,,3,10000,27556,,3,10000,27609,,3,10000,27432
,,,,,,,,,,,,,,,,,,,,,,
4,1000,3479,,4,1000,3499,,4,1000,2715,,4,1000,2633,,4,1000,3391,,4,1000,3143.4
4,2000,4760,,4,2000,4766,,4,2000,3540,,4,2000,3538,,4,2000,3586,,4,2000,4038
4,3000,6350,,4,3000,6499,,4,3000,5090,,4,3000,5110,,4,3000,5310,,4,3000,5671.8
4,4000,8780,,4,4000,8554,,4,4000,6897,,4,4000,6832,,4,4000,7275,,4,4000,7667.6
4,5000,11560,,4,5000,11669,,4,5000,8700,,4,5000,8579,,4,5000,8719,,4,5000,9845.4
4,6000,15017,,4,6000,14449,,4,6000,10990,,4,6000,11786,,4,6000,11195,,4,6000,12687.4
4,7000,18375,,4,7000,18409,,4,7000,13535,,4,7000,13439,,4,7000,14483,,4,7000,15648.2
4,8000,22375,,4,8000,23718,,4,8000,16255,,4,8000,16201,,4,8000,16915,,4,8000,19092.8
4,9000,27492,,4,9000,27251,,4,9000,18655,,4,9000,18772,,4,9000,19082,,4,9000,22250.4
4,10000,32718,,4,10000,32935,,4,10000,21872,,4,10000,21812,,4,10000,22082,,4,10000,26283.8
,,,,,,,,,,,,,,,,,,,,,,
5,1000,2997,,5,1000,2962,,5,1000,2971,,5,1000,3014,,5,1000,3038,,5,1000,2996.4
5,2000,4166,,5,2000,4099,,5,2000,4116,,5,2000,4297,,5,2000,4257,,5,2000,4187
5,3000,5507,,5,3000,5618,,5,3000,5826,,5,3000,5887,,5,3000,5669,,5,3000,5701.4
5,4000,7869,,5,4000,7365,,5,4000,7841,,5,4000,7798,,5,4000,7854,,5,4000,7745.4
5,5000,10350,,5,5000,9950,,5,5000,9983,,5,5000,10047,,5,5000,9869,,5,5000,10039.8
5,6000,12933,,5,6000,12667,,5,6000,12782,,5,6000,13162,,5,6000,12720,,5,6000,12852.8
5,7000,16261,,5,7000,15345,,5,7000,15326,,5,7000,16578,,5,7000,15710,,5,7000,15844
5,8000,19661,,5,8000,18941,,5,8000,18929,,5,8000,19681,,5,8000,18999,,5,8000,19242.2
5,9000,23094,,5,9000,23013,,5,9000,23254,,5,9000,23432,,5,9000,23130,,5,9000,23184.6
5,10000,27267,,5,10000,27319,,5,10000,27358,,5,10000,29020,,5,10000,27413,,5,10000,27675.4
,,,,,,,,,,,,,,,,,,,,,,
6,1000,2729,,6,1000,2811,,6,1000,2770,,6,1000,2738,,6,1000,2749,,6,1000,2759.4
6,2000,3974,,6,2000,3960,,6,2000,3889,,6,2000,4078,,6,2000,4041,,6,2000,3988.4
6,3000,5572,,6,3000,5372,,6,3000,5692,,6,3000,5737,,6,3000,5558,,6,3000,5586.2
6,4000,7306,,6,4000,7272,,6,4000,7526,,6,4000,7628,,6,4000,7473,,6,4000,7441
6,5000,9082,,6,5000,9195,,6,5000,9184,,6,5000,9021,,6,5000,9216,,6,5000,9139.6
6,6000,11444,,6,6000,11402,,6,6000,11536,,6,6000,11259,,6,6000,11562,,6,6000,11440.6
6,7000,14172,,6,7000,14186,,6,7000,14304,,6,7000,14159,,6,7000,14303,,6,7000,14224.8
6,8000,17455,,6,8000,16686,,6,8000,17211,,6,8000,17697,,6,8000,17228,,6,8000,17255.4
6,9000,20182,,6,9000,20130,,6,9000,20351,,6,9000,20415,,6,9000,20203,,6,9000,20256.2
6,10000,23946,,6,10000,23940,,6,10000,23937,,6,10000,24150,,6,10000,24064,,6,10000,24007.4
,,,,,,,,,,,,,,,,,,,,,,
7,1000,2568,,7,1000,2557,,7,1000,2569,,7,1000,5949,,7,1000,2561,,7,1000,3240.8
7,2000,3872,,7,2000,3896,,7,2000,3925,,7,2000,4432,,7,2000,3939,,7,2000,4012.8
7,3000,5458,,7,3000,5592,,7,3000,5539,,7,3000,6517,,7,3000,5451,,7,3000,5711.4
7,4000,7088,,7,4000,6995,,7,4000,7185,,7,4000,7184,,7,4000,7170,,7,4000,7124.4
7,5000,8660,,7,5000,8699,,7,5000,8748,,7,5000,8656,,7,5000,8726,,7,5000,8697.8
7,6000,10736,,7,6000,10614,,7,6000,10751,,7,6000,10688,,7,6000,10665,,7,6000,10690.8
7,7000,13095,,7,7000,12928,,7,7000,13146,,7,7000,13009,,7,7000,12827,,7,7000,13001
7,8000,15598,,7,8000,15278,,7,8000,15724,,7,8000,15646,,7,8000,15140,,7,8000,15477.2
7,9000,18491,,7,9000,18239,,7,9000,18448,,7,9000,18563,,7,9000,18294,,7,9000,18407
7,10000,21298,,7,10000,21516,,7,10000,21467,,7,10000,21442,,7,10000,21476,,7,10000,21439.8
,,,,,,,,,,,,,,,,,,,,,,
8,1000,2417,,8,1000,2510,,8,1000,2469,,8,1000,2444,,8,1000,3092,,8,1000,2586.4
8,2000,4031,,8,2000,4179,,8,2000,4064,,8,2000,4062,,8,2000,4048,,8,2000,4076.8
8,3000,5701,,8,3000,5846,,8,3000,5657,,8,3000,5713,,8,3000,5630,,8,3000,5709.4
8,4000,7127,,8,4000,7238,,8,4000,7184,,8,4000,7299,,8,4000,7351,,8,4000,7239.8
8,5000,8614,,8,5000,8781,,8,5000,8684,,8,5000,8794,,8,5000,8745,,8,5000,8723.6
8,6000,10123,,8,6000,10213,,8,6000,10286,,8,6000,10233,,8,6000,10289,,8,6000,10228.8
8,7000,12040,,8,7000,12146,,8,7000,12121,,8,7000,12215,,8,7000,12219,,8,7000,12148.2
8,8000,14295,,8,8000,14415,,8,8000,14334,,8,8000,14398,,8,8000,15835,,8,8000,14655.4
8,9000,16712,,8,9000,16766,,8,9000,17048,,8,9000,16717,,8,9000,18411,,8,9000,17130.8
8,10000,19613,,8,10000,19788,,8,10000,19876,,8,10000,19691,,8,10000,20100,,8,10000,19813.6
