Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Mean,,
Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time
6,2100,3115,,6,2100,3119,,6,2100,2557,,6,2100,3188,,6,2100,3150,,6,7000,3025.8
6,2400,2823,,6,2400,3577,,6,2400,2762,,6,2400,2998,,6,2400,5242,,6,8000,3480.4
6,2700,3291,,6,2700,3634,,6,2700,4982,,6,2700,3436,,6,2700,3240,,6,9000,3716.6
6,3000,3437,,6,3000,3378,,6,3000,3326,,6,3000,3288,,6,3000,4197,,6,10000,3525.2
,,,,,,,,,,,,,,,,,,,,,,
7,300,2154,,7,300,3571,,7,300,3404,,7,300,1625,,7,300,1723,,7,1000,2495.4
7,600,4154,,7,600,2641,,7,600,2792,,7,600,2562,,7,600,2946,,7,2000,3019
7,900,4202,,7,900,3570,,7,900,2536,,7,900,2912,,7,900,3427,,7,3000,3329.4
7,1200,2269,,7,1200,2209,,7,1200,2317,,7,1200,2259,,7,1200,2338,,7,4000,2278.4
7,1500,2942,,7,1500,2683,,7,1500,3329,,7,1500,2879,,7,1500,2756,,7,5000,2917.8
7,1800,6137,,7,1800,2737,,7,1800,2631,,7,1800,2627,,7,1800,3478,,7,6000,3522
7,2100,2720,,7,2100,3937,,7,2100,2881,,7,2100,2674,,7,2100,3326,,7,7000,3107.6
7,2400,2842,,7,2400,3472,,7,2400,2658,,7,2400,2944,,7,2400,3125,,7,8000,3008.2
7,2700,3085,,7,2700,3473,,7,2700,3087,,7,2700,3190,,7,2700,3047,,7,9000,3176.4
7,3000,5811,,7,3000,5969,,7,3000,4260,,7,3000,3615,,7,3000,3649,,7,10000,4660.8
,,,,,,,,,,,,,,,,,,,,,,
8,300,3348,,8,300,3841,,8,300,1645,,8,300,1641,,8,300,1860,,8,1000,2467
8,600,2070,,8,600,4790,,8,600,6110,,8,600,2649,,8,600,2614,,8,2000,3646.6
8,900,2325,,8,900,5098,,8,900,2178,,8,900,2161,,8,900,2453,,8,3000,2843
8,1200,5465,,8,1200,2310,,8,1200,2358,,8,1200,2866,,8,1200,3169,,8,4000,3233.6
8,1500,5241,,8,1500,2553,,8,1500,2857,,8,1500,7655,,8,1500,2923,,8,5000,4245.8
8,1800,2944,,8,1800,5434,,8,1800,2731,,8,1800,9431,,8,1800,3084,,8,6000,4724.8
8,2100,4406,,8,2100,3414,,8,2100,2922,,8,2100,4142,,8,2100,3544,,8,7000,3685.6
8,2400,3014,,8,2400,2990,,8,2400,2883,,8,2400,2899,,8,2400,3613,,8,8000,3079.8
8,2700,4089,,8,2700,3002,,8,2700,3013,,8,2700,3008,,8,2700,3526,,8,9000,3327.6
8,3000,8346,,8,3000,10989,,8,3000,10548,,8,3000,3190,,8,3000,9338,,8,10000,8482.2
